ID;BedrijfskenmerkenSBI2008;Perioden;Ziekteverzuimpercentage_1;LO_ratio;MO_ratio;HO_ratio;Weetniet_ratio;Jobs_healthcare_ratio;Jobs_trade_ratio;Jobs_rental_ratio;Jobs_industry_ratio;Jobs_edu_ratio;Jobs_gov_ratio;Jobs_specialbusiness_ratio;Jobs_construction_ratio;SizeUnder100_ratio;Size100to500_ratio;SizeAbove500_ratio
0;A-U Alle economische activiteiten;1996 1e kwartaal;5,5;;;;;;;;;;;;;;;
1;A-U Alle economische activiteiten;1996 2e kwartaal;4,6;;;;;;;;;;;;;;;
2;A-U Alle economische activiteiten;1996 3e kwartaal;4;;;;;;;;;;;;;;;
3;A-U Alle economische activiteiten;1996 4e kwartaal;4,7;;;;;;;;;;;;;;;
5;A-U Alle economische activiteiten;1997 1e kwartaal;4,9;;;;;;;;;;;;;;;
6;A-U Alle economische activiteiten;1997 2e kwartaal;4,5;;;;;;;;;;;;;;;
7;A-U Alle economische activiteiten;1997 3e kwartaal;4,1;;;;;;;;;;;;;;;
8;A-U Alle economische activiteiten;1997 4e kwartaal;4,9;;;;;;;;;;;;;;;
10;A-U Alle economische activiteiten;1998 1e kwartaal;5,2;;;;;;;;;;;;;;;
11;A-U Alle economische activiteiten;1998 2e kwartaal;4,9;;;;;;;;;;;;;;;
12;A-U Alle economische activiteiten;1998 3e kwartaal;4,5;;;;;;;;;;;;;;;
13;A-U Alle economische activiteiten;1998 4e kwartaal;5,3;;;;;;;;;;;;;;;
15;A-U Alle economische activiteiten;1999 1e kwartaal;5,9;;;;;;;;;;;;;;;
16;A-U Alle economische activiteiten;1999 2e kwartaal;5,1;;;;;;;;;;;;;;;
17;A-U Alle economische activiteiten;1999 3e kwartaal;4,9;;;;;;;;;;;;;;;
18;A-U Alle economische activiteiten;1999 4e kwartaal;5,6;;;;;;;;;;;;;;;
20;A-U Alle economische activiteiten;2000 1e kwartaal;5,9;;;;;;;;;;;;;;;
21;A-U Alle economische activiteiten;2000 2e kwartaal;5,3;;;;;;;;;;;;;;;
22;A-U Alle economische activiteiten;2000 3e kwartaal;5,2;;;;;;;;;;;;;;;
23;A-U Alle economische activiteiten;2000 4e kwartaal;5,7;;;;;;;;;;;;;;;
25;A-U Alle economische activiteiten;2001 1e kwartaal;5,8;;;;;;;;;;;;;;;
26;A-U Alle economische activiteiten;2001 2e kwartaal;5,4;;;;;;;;;;;;;;;
27;A-U Alle economische activiteiten;2001 3e kwartaal;5,1;;;;;;;;;;;;;;;
28;A-U Alle economische activiteiten;2001 4e kwartaal;5,5;;;;;;;;;;;;;;;
30;A-U Alle economische activiteiten;2002 1e kwartaal;5,9;;;;;;;;;;;;;;;
31;A-U Alle economische activiteiten;2002 2e kwartaal;5,4;;;;;;;;;;;;;;;
32;A-U Alle economische activiteiten;2002 3e kwartaal;4,9;;;;;;;;;;;;;;;
33;A-U Alle economische activiteiten;2002 4e kwartaal;5,4;;;;;;;;;;;;;;;
35;A-U Alle economische activiteiten;2003 1e kwartaal;5,3;;;;;;;;;;;;;;;
36;A-U Alle economische activiteiten;2003 2e kwartaal;4,6;;;;;;;;;;;;;;;
37;A-U Alle economische activiteiten;2003 3e kwartaal;4,1;;;;;;;;;;;;;;;
38;A-U Alle economische activiteiten;2003 4e kwartaal;4,8;;;;;;;;;;;;;;;
40;A-U Alle economische activiteiten;2004 1e kwartaal;4,7;;;;;;;;;;;;;;;
41;A-U Alle economische activiteiten;2004 2e kwartaal;4;;;;;;;;;;;;;;;
42;A-U Alle economische activiteiten;2004 3e kwartaal;3,7;;;;;;;;;;;;;;;
43;A-U Alle economische activiteiten;2004 4e kwartaal;4,3;;;;;;;;;;;;;;;
45;A-U Alle economische activiteiten;2005 1e kwartaal;4,6;;;;;;;;;;;;;;;
46;A-U Alle economische activiteiten;2005 2e kwartaal;3,9;;;;;;;;;;;;;;;
47;A-U Alle economische activiteiten;2005 3e kwartaal;3,6;;;;;;;;;;;;;;;
48;A-U Alle economische activiteiten;2005 4e kwartaal;4,2;;;;;;;;;;;;;;;
50;A-U Alle economische activiteiten;2006 1e kwartaal;4,6;;;;;0,152;0,163;0,109;0,107;0,065;0,064;0,062;0,051;;;
51;A-U Alle economische activiteiten;2006 2e kwartaal;4;;;;;0,152;0,163;0,110;0,107;0,065;0,064;0,062;0,051;;;
52;A-U Alle economische activiteiten;2006 3e kwartaal;3,7;;;;;0,152;0,162;0,111;0,106;0,065;0,064;0,062;0,051;;;
53;A-U Alle economische activiteiten;2006 4e kwartaal;4,3;;;;;0,152;0,162;0,114;0,105;0,065;0,063;0,062;0,051;;;
55;A-U Alle economische activiteiten;2007 1e kwartaal;4,6;;;;;0,152;0,163;0,116;0,105;0,065;0,064;0,063;0,050;0,992;0,006;0,002
56;A-U Alle economische activiteiten;2007 2e kwartaal;4;;;;;0,151;0,163;0,117;0,104;0,065;0,064;0,063;0,050;0,992;0,006;0,002
57;A-U Alle economische activiteiten;2007 3e kwartaal;3,7;;;;;0,152;0,163;0,117;0,104;0,065;0,064;0,064;0,050;0,992;0,006;0,001
58;A-U Alle economische activiteiten;2007 4e kwartaal;4,3;;;;;0,152;0,163;0,118;0,104;0,065;0,063;0,064;0,050;0,993;0,006;0,001
60;A-U Alle economische activiteiten;2008 1e kwartaal;4,6;;;;;0,152;0,163;0,116;0,104;0,065;0,063;0,065;0,050;0,993;0,006;0,001
61;A-U Alle economische activiteiten;2008 2e kwartaal;4;;;;;0,152;0,163;0,115;0,104;0,065;0,063;0,066;0,050;0,993;0,006;0,001
62;A-U Alle economische activiteiten;2008 3e kwartaal;3,7;;;;;0,153;0,164;0,114;0,104;0,065;0,063;0,066;0,050;0,993;0,006;0,001
63;A-U Alle economische activiteiten;2008 4e kwartaal;4,2;;;;;0,153;0,165;0,111;0,103;0,066;0,063;0,067;0,050;0,993;0,005;0,001
65;A-U Alle economische activiteiten;2009 1e kwartaal;4,5;;;;;0,155;0,164;0,112;0,103;0,066;0,064;0,067;0,050;0,993;0,005;0,001
66;A-U Alle economische activiteiten;2009 2e kwartaal;3,8;;;;;0,157;0,164;0,108;0,102;0,066;0,065;0,067;0,050;0,993;0,005;0,001
67;A-U Alle economische activiteiten;2009 3e kwartaal;3,7;;;;;0,159;0,164;0,106;0,101;0,067;0,066;0,067;0,049;0,994;0,005;0,001
68;A-U Alle economische activiteiten;2009 4e kwartaal;4,4;;;;;0,162;0,164;0,105;0,100;0,067;0,067;0,066;0,049;0,994;0,005;0,001
70;A-U Alle economische activiteiten;2010 1e kwartaal;4,4;;;;;0,166;0,163;0,103;0,099;0,067;0,068;0,065;0,049;0,994;0,005;0,001
71;A-U Alle economische activiteiten;2010 2e kwartaal;4;;;;;0,166;0,163;0,104;0,099;0,067;0,068;0,064;0,048;0,994;0,005;0,001
72;A-U Alle economische activiteiten;2010 3e kwartaal;3,9;;;;;0,167;0,164;0,105;0,098;0,067;0,068;0,064;0,048;0,994;0,005;0,001
73;A-U Alle economische activiteiten;2010 4e kwartaal;4,4;;;;;0,168;0,164;0,105;0,097;0,067;0,068;0,064;0,047;0,994;0,005;0,001
75;A-U Alle economische activiteiten;2011 1e kwartaal;4,6;;;;;0,169;0,164;0,107;0,097;0,067;0,067;0,063;0,047;0,994;0,005;0,001
76;A-U Alle economische activiteiten;2011 2e kwartaal;4,1;;;;;0,170;0,165;0,107;0,097;0,066;0,066;0,063;0,047;0,994;0,005;0,001
77;A-U Alle economische activiteiten;2011 3e kwartaal;3,8;;;;;0,170;0,165;0,106;0,097;0,066;0,066;0,063;0,047;0,994;0,005;0,001
78;A-U Alle economische activiteiten;2011 4e kwartaal;4,2;;;;;0,171;0,166;0,104;0,097;0,066;0,066;0,063;0,046;0,994;0,005;0,001
80;A-U Alle economische activiteiten;2012 1e kwartaal;4,4;;;;;0,172;0,166;0,106;0,096;0,066;0,065;0,063;0,046;0,994;0,004;0,001
81;A-U Alle economische activiteiten;2012 2e kwartaal;3,9;;;;;0,173;0,166;0,106;0,096;0,066;0,065;0,063;0,045;0,995;0,004;0,001
82;A-U Alle economische activiteiten;2012 3e kwartaal;3,6;;;;;0,173;0,166;0,106;0,096;0,066;0,065;0,062;0,045;0,995;0,004;0,001
83;A-U Alle economische activiteiten;2012 4e kwartaal;4,1;;;;;0,174;0,166;0,105;0,096;0,066;0,065;0,062;0,044;0,995;0,004;0,001
85;A-U Alle economische activiteiten;2013 1e kwartaal;4,5;0,222;0,425;0,336;0,017;0,175;0,166;0,107;0,096;0,066;0,065;0,062;0,043;0,995;0,004;0,001
86;A-U Alle economische activiteiten;2013 2e kwartaal;3,8;0,217;0,426;0,338;0,019;0,175;0,166;0,107;0,096;0,066;0,066;0,062;0,042;0,995;0,004;0,001
87;A-U Alle economische activiteiten;2013 3e kwartaal;3,5;0,216;0,426;0,340;0,018;0,174;0,167;0,107;0,096;0,066;0,066;0,062;0,042;0,995;0,004;0,001
88;A-U Alle economische activiteiten;2013 4e kwartaal;3,9;0,214;0,424;0,343;0,019;0,173;0,167;0,108;0,096;0,066;0,066;0,062;0,041;0,995;0,004;0,001
90;A-U Alle economische activiteiten;2014 1e kwartaal;4;0,215;0,422;0,348;0,014;0,173;0,167;0,108;0,096;0,066;0,066;0,063;0,040;0,995;0,004;0,001
91;A-U Alle economische activiteiten;2014 2e kwartaal;3,7;0,216;0,423;0,350;0,011;0,172;0,167;0,109;0,096;0,066;0,066;0,063;0,040;0,995;0,004;0,001
92;A-U Alle economische activiteiten;2014 3e kwartaal;3,5;0,215;0,425;0,352;0,008;0,170;0,167;0,111;0,096;0,066;0,066;0,063;0,040;0,995;0,004;0,001
93;A-U Alle economische activiteiten;2014 4e kwartaal;4;0,216;0,421;0,355;0,008;0,169;0,167;0,113;0,096;0,066;0,065;0,063;0,039;0,995;0,004;0,001
95;A-U Alle economische activiteiten;2015 1e kwartaal;4,4;0,215;0,417;0,359;0,008;0,168;0,167;0,116;0,095;0,066;0,065;0,061;0,039;0,995;0,004;0,001
96;A-U Alle economische activiteiten;2015 2e kwartaal;3,7;0,215;0,417;0,359;0,009;0,167;0,167;0,117;0,095;0,066;0,065;0,061;0,038;0,995;0,004;0,001
97;A-U Alle economische activiteiten;2015 3e kwartaal;3,5;0,212;0,420;0,360;0,008;0,166;0,167;0,119;0,095;0,065;0,064;0,060;0,038;0,995;0,004;0,001
98;A-U Alle economische activiteiten;2015 4e kwartaal;3,9;0,211;0,417;0,364;0,009;0,164;0,167;0,121;0,094;0,065;0,064;0,060;0,038;0,995;0,004;0,001
100;A-U Alle economische activiteiten;2016 1e kwartaal;4,3;0,209;0,416;0,364;0,010;0,164;0,168;0,120;0,095;0,065;0,064;0,061;0,038;0,995;0,004;0,001
101;A-U Alle economische activiteiten;2016 2e kwartaal;3,8;0,212;0,415;0,362;0,011;0,163;0,167;0,123;0,094;0,065;0,063;0,061;0,038;0,995;0,004;0,001
102;A-U Alle economische activiteiten;2016 3e kwartaal;3,5;0,209;0,418;0,361;0,012;0,162;0,167;0,125;0,094;0,065;0,063;0,061;0,038;0,995;0,004;0,001
103;A-U Alle economische activiteiten;2016 4e kwartaal;4,1;0,206;0,416;0,365;0,012;0,163;0,167;0,126;0,093;0,065;0,063;0,061;0,038;0,995;0,004;0,001
105;A-U Alle economische activiteiten;2017 1e kwartaal;4,3;0,205;0,415;0,367;0,013;0,163;0,167;0,127;0,092;0,064;0,063;0,061;0,038;0,995;0,004;0,001
106;A-U Alle economische activiteiten;2017 2e kwartaal;3,9;0,205;0,415;0,368;0,012;0,162;0,167;0,129;0,092;0,064;0,063;0,061;0,038;0,995;0,004;0,001
107;A-U Alle economische activiteiten;2017 3e kwartaal;3,7;0,200;0,415;0,371;0,013;0,162;0,167;0,131;0,092;0,064;0,062;0,061;0,038;0,995;0,004;0,001
108;A-U Alle economische activiteiten;2017 4e kwartaal;4,2;0,202;0,411;0,375;0,013;0,162;0,167;0,133;0,091;0,064;0,062;0,061;0,038;0,995;0,004;0,001
110;A-U Alle economische activiteiten;2018 1e kwartaal;4,9;0,203;0,408;0,376;0,013;0,162;0,167;0,132;0,091;0,063;0,062;0,061;0,038;0,995;0,004;0,001
111;A-U Alle economische activiteiten;2018 2e kwartaal;4,1;0,203;0,405;0,380;0,012;0,162;0,167;0,132;0,091;0,063;0,061;0,061;0,038;0,995;0,004;0,001
112;A-U Alle economische activiteiten;2018 3e kwartaal;3,9;0,200;0,407;0,382;0,012;0,162;0,167;0,132;0,091;0,063;0,061;0,061;0,038;0,995;0,004;0,001
113;A-U Alle economische activiteiten;2018 4e kwartaal;4,3;0,200;0,404;0,383;0,013;0,162;0,167;0,133;0,091;0,063;0,061;0,061;0,038;0,995;0,004;0,001
115;A-U Alle economische activiteiten;2019 1e kwartaal;4,7;0,199;0,402;0,386;0,013;0,163;0,166;0,131;0,091;0,063;0,061;0,062;0,039;0,996;0,004;0,001
116;A-U Alle economische activiteiten;2019 2e kwartaal;4,3;0,201;0,400;0,386;0,014;0,164;0,166;0,130;0,091;0,063;0,061;0,062;0,039;0,996;0,004;0,001
117;A-U Alle economische activiteiten;2019 3e kwartaal;4;0,195;0,403;0,388;0,014;0,165;0,165;0,129;0,091;0,063;0,062;0,062;0,039;0,996;0,004;0,001
118;A-U Alle economische activiteiten;2019 4e kwartaal;4,5;0,195;0,399;0,392;0,014;0,165;0,165;0,127;0,091;0,063;0,062;0,063;0,039;0,996;0,004;0,001
120;A-U Alle economische activiteiten;2020 1e kwartaal;5,2;0,194;0,396;0,396;0,014;0,166;0,165;0,124;0,090;0,063;0,062;0,062;0,039;0,996;0,003;0,001
121;A-U Alle economische activiteiten;2020 2e kwartaal;4,5;0,188;0,396;0,402;0,015;0,172;0,169;0,113;0,093;0,065;0,065;0,064;0,040;0,996;0,003;0,001
122;A-U Alle economische activiteiten;2020 3e kwartaal;4,4;0,187;0,401;0,397;0,015;0,172;0,169;0,113;0,091;0,065;0,065;0,063;0,040;0,996;0,003;0,001
123;A-U Alle economische activiteiten;2020 4e kwartaal;4,9;0,185;0,396;0,406;0,013;0,173;0,170;0,114;0,091;0,065;0,065;0,064;0,040;0,996;0,003;0,001
125;A-U Alle economische activiteiten;2021 1e kwartaal;4,8;0,191;0,394;0,408;0,007;0,174;0,169;0,115;0,091;0,066;0,065;0,063;0,040;0,996;0,003;0,001
126;A-U Alle economische activiteiten;2021 2e kwartaal;4,7;0,190;0,392;0,412;0,006;0,173;0,168;0,118;0,090;0,066;0,065;0,063;0,040;0,996;0,003;0,001
127;A-U Alle economische activiteiten;2021 3e kwartaal;4,6;0,188;0,391;0,416;0,006;0,171;0,167;0,119;0,089;0,066;0,065;0,063;0,040;0,996;0,003;0,001
128;A-U Alle economische activiteiten;2021 4e kwartaal;5,4;0,187;0,386;0,422;0,006;0,170;0,166;0,119;0,089;0,066;0,064;0,064;0,040;0,996;0,003;0,001
130;A-U Alle economische activiteiten;2022 1e kwartaal;6,3;0,188;0,383;0,424;0,006;0,169;0,165;0,122;0,087;0,066;0,064;0,063;0,039;0,996;0,003;0,001
131;A-U Alle economische activiteiten;2022 2e kwartaal;5,4;0,193;0,379;0,423;0,005;0,168;0,165;0,121;0,087;0,066;0,064;0,064;0,040;0,996;0,003;0,001
