Period;psychisch_PCT;Psy_Prior1;Psy_Prior2;Psy_Prior3;Psy_Prior4;Psy_Prior5;Psy_Prior6;Psy_Prior7;Psy_Prior8;Psy_Prior9;Psy_Prior10;ziektenbotspierstelsel_PCT;Botspier_Prior1;Botspier_Prior2;Botspier_Prior3;Botspier_Prior4;Botspier_Prior5;Botspier_Prior6;Botspier_Prior7;Botspier_Prior8;Botspier_Prior9;Botspier_Prior10;ademhaling_PCT;Adem_Prior1;Adem_Prior2;Adem_Prior3;Adem_Prior4;Adem_Prior5;Adem_Prior6;Adem_Prior7;Adem_Prior8;Adem_Prior9;Adem_Prior10;oorziekte_PCT;Oor_Prior1;Oor_Prior2;Oor_Prior3;Oor_Prior4;Oor_Prior5;Oor_Prior6;Oor_Prior7;Oor_Prior8;Oor_Prior9;Oor_Prior10
2003 1e kwartaal;16.3;;;;;;;;;;;26.9;;;;;;;;;;;0.0;;;;;;;;;;;25.2;;;;;;;;;;
2003 2e kwartaal;16.875;;;;;;;;;;16.3;25.924.999.999.999.900;;;;;;;;;;26.9;0.0;;;;;;;;;;0.0;24.849.999.999.999.900;;;;;;;;;;25.2
2003 3e kwartaal;17.45;;;;;;;;;16.3;16.875;24.95;;;;;;;;;26.9;25.924.999.999.999.900;0.0;;;;;;;;;0.0;0.0;24.5;;;;;;;;;25.2;24.849.999.999.999.900
2003 4e kwartaal;18.025.000.000.000.000;;;;;;;;16.3;16.875;17.45;23.974.999.999.999.900;;;;;;;;26.9;25.924.999.999.999.900;24.95;0.0;;;;;;;;0.0;0.0;0.0;24.15;;;;;;;;25.2;24.849.999.999.999.900;24.5
2004 1e kwartaal;18.6;;;;;;;16.3;16.875;17.45;18.025.000.000.000.000;23.0;;;;;;;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;0.0;;;;;;;0.0;0.0;0.0;0.0;23.8;;;;;;;25.2;24.849.999.999.999.900;24.5;24.15
2004 2e kwartaal;19.700.000.000.000.000;;;;;;16.3;16.875;17.45;18.025.000.000.000.000;18.6;27.0;;;;;;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;0.5;;;;;;0.0;0.0;0.0;0.0;0.0;24.6;;;;;;25.2;24.849.999.999.999.900;24.5;24.15;23.8
2004 3e kwartaal;20.8;;;;;16.3;16.875;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;31.0;;;;;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;27.0;1.0;;;;;0.0;0.0;0.0;0.0;0.0;0.5;25.400.000.000.000.000;;;;;25.2;24.849.999.999.999.900;24.5;24.15;23.8;24.6
2004 4e kwartaal;21.900.000.000.000.000;;;;16.3;16.875;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;35.0;;;;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;27.0;31.0;1.5;;;;0.0;0.0;0.0;0.0;0.0;0.5;1.0;26.200.000.000.000.000;;;;25.2;24.849.999.999.999.900;24.5;24.15;23.8;24.6;25.400.000.000.000.000
2005 1e kwartaal;23.0;;;16.3;16.875;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;39.0;;;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;27.0;31.0;35.0;2.0;;;0.0;0.0;0.0;0.0;0.0;0.5;1.0;1.5;27.0;;;25.2;24.849.999.999.999.900;24.5;24.15;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000
2005 2e kwartaal;22.75;;16.3;16.875;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;39.0;;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;27.0;31.0;35.0;39.0;1.75;;0.0;0.0;0.0;0.0;0.0;0.5;1.0;1.5;2.0;27.25;;25.2;24.849.999.999.999.900;24.5;24.15;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0
2005 3e kwartaal;22.5;16.3;16.875;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;22.75;39.0;26.9;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;27.0;31.0;35.0;39.0;39.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;1.0;1.5;2.0;1.75;27.5;25.2;24.849.999.999.999.900;24.5;24.15;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25
2005 4e kwartaal;22.25;16.875;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;22.75;22.5;39.0;25.924.999.999.999.900;24.95;23.974.999.999.999.900;23.0;27.0;31.0;35.0;39.0;39.0;39.0;1.25;0.0;0.0;0.0;0.0;0.5;1.0;1.5;2.0;1.75;1.5;27.75;24.849.999.999.999.900;24.5;24.15;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5
2006 1e kwartaal;22.0;17.45;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;22.75;22.5;22.25;39.0;24.95;23.974.999.999.999.900;23.0;27.0;31.0;35.0;39.0;39.0;39.0;39.0;1.0;0.0;0.0;0.0;0.5;1.0;1.5;2.0;1.75;1.5;1.25;28.0;24.5;24.15;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5;27.75
2006 2e kwartaal;21.5;18.025.000.000.000.000;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;22.75;22.5;22.25;22.0;39.075;23.974.999.999.999.900;23.0;27.0;31.0;35.0;39.0;39.0;39.0;39.0;39.0;1.125;0.0;0.0;0.5;1.0;1.5;2.0;1.75;1.5;1.25;1.0;28.775;24.15;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5;27.75;28.0
2006 3e kwartaal;21.0;18.6;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;22.75;22.5;22.25;22.0;21.5;39.15;23.0;27.0;31.0;35.0;39.0;39.0;39.0;39.0;39.0;39.075;1.25;0.0;0.5;1.0;1.5;2.0;1.75;1.5;1.25;1.0;1.125;29.55;23.8;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5;27.75;28.0;28.775
2006 4e kwartaal;20.5;19.700.000.000.000.000;20.8;21.900.000.000.000.000;23.0;22.75;22.5;22.25;22.0;21.5;21.0;39.225;27.0;31.0;35.0;39.0;39.0;39.0;39.0;39.0;39.075;39.15;1.375;0.5;1.0;1.5;2.0;1.75;1.5;1.25;1.0;1.125;1.25;30.325;24.6;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5;27.75;28.0;28.775;29.55
2007 1e kwartaal;20.0;20.8;21.900.000.000.000.000;23.0;22.75;22.5;22.25;22.0;21.5;21.0;20.5;39.3;31.0;35.0;39.0;39.0;39.0;39.0;39.0;39.075;39.15;39.225;1.5;1.0;1.5;2.0;1.75;1.5;1.25;1.0;1.125;1.25;1.375;31.1;25.400.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5;27.75;28.0;28.775;29.55;30.325
2007 2e kwartaal;19.2;21.900.000.000.000.000;23.0;22.75;22.5;22.25;22.0;21.5;21.0;20.5;20.0;39.675;35.0;39.0;39.0;39.0;39.0;39.0;39.075;39.15;39.225;39.3;1.475;1.5;2.0;1.75;1.5;1.25;1.0;1.125;1.25;1.375;1.5;31.775.000.000.000.000;26.200.000.000.000.000;27.0;27.25;27.5;27.75;28.0;28.775;29.55;30.325;31.1
2007 3e kwartaal;18.4;23.0;22.75;22.5;22.25;22.0;21.5;21.0;20.5;20.0;19.2;40.05;39.0;39.0;39.0;39.0;39.0;39.075;39.15;39.225;39.3;39.675;1.45;2.0;1.75;1.5;1.25;1.0;1.125;1.25;1.375;1.5;1.475;32.45;27.0;27.25;27.5;27.75;28.0;28.775;29.55;30.325;31.1;31.775.000.000.000.000
2007 4e kwartaal;17.6;22.75;22.5;22.25;22.0;21.5;21.0;20.5;20.0;19.2;18.4;40.425;39.0;39.0;39.0;39.0;39.075;39.15;39.225;39.3;39.675;40.05;1.425;1.75;1.5;1.25;1.0;1.125;1.25;1.375;1.5;1.475;1.45;33.125;27.25;27.5;27.75;28.0;28.775;29.55;30.325;31.1;31.775.000.000.000.000;32.45
2008 1e kwartaal;16.8;22.5;22.25;22.0;21.5;21.0;20.5;20.0;19.2;18.4;17.6;40.8;39.0;39.0;39.0;39.075;39.15;39.225;39.3;39.675;40.05;40.425;1.4;1.5;1.25;1.0;1.125;1.25;1.375;1.5;1.475;1.45;1.425;33.8;27.5;27.75;28.0;28.775;29.55;30.325;31.1;31.775.000.000.000.000;32.45;33.125
2008 2e kwartaal;16.25;22.25;22.0;21.5;21.0;20.5;20.0;19.2;18.4;17.6;16.8;38.65;39.0;39.0;39.075;39.15;39.225;39.3;39.675;40.05;40.425;40.8;12.999.999.999.999.900;1.25;1.0;1.125;1.25;1.375;1.5;1.475;1.45;1.425;1.4;37.074.999.999.999.900;27.75;28.0;28.775;29.55;30.325;31.1;31.775.000.000.000.000;32.45;33.125;33.8
2008 3e kwartaal;15.700.000.000.000.000;22.0;21.5;21.0;20.5;20.0;19.2;18.4;17.6;16.8;16.25;36.5;39.0;39.075;39.15;39.225;39.3;39.675;40.05;40.425;40.8;38.65;1.2;1.0;1.125;1.25;1.375;1.5;1.475;1.45;1.425;1.4;12.999.999.999.999.900;40.349.999.999.999.900;28.0;28.775;29.55;30.325;31.1;31.775.000.000.000.000;32.45;33.125;33.8;37.074.999.999.999.900
2008 4e kwartaal;15.15;21.5;21.0;20.5;20.0;19.2;18.4;17.6;16.8;16.25;15.700.000.000.000.000;34.349.999.999.999.900;39.075;39.15;39.225;39.3;39.675;40.05;40.425;40.8;38.65;36.5;10.999.999.999.999.900;1.125;1.25;1.375;1.5;1.475;1.45;1.425;1.4;12.999.999.999.999.900;1.2;43.625;28.775;29.55;30.325;31.1;31.775.000.000.000.000;32.45;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900
2009 1e kwartaal;14.6;21.0;20.5;20.0;19.2;18.4;17.6;16.8;16.25;15.700.000.000.000.000;15.15;32.2;39.15;39.225;39.3;39.675;40.05;40.425;40.8;38.65;36.5;34.349.999.999.999.900;1.0;1.25;1.375;1.5;1.475;1.45;1.425;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;46.9;29.55;30.325;31.1;31.775.000.000.000.000;32.45;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625
2009 2e kwartaal;15.375;20.5;20.0;19.2;18.4;17.6;16.8;16.25;15.700.000.000.000.000;15.15;14.6;32.475;39.225;39.3;39.675;40.05;40.425;40.8;38.65;36.5;34.349.999.999.999.900;32.2;1.1;1.375;1.5;1.475;1.45;1.425;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;45.574.999.999.999.900;30.325;31.1;31.775.000.000.000.000;32.45;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9
2009 3e kwartaal;16.15;20.0;19.2;18.4;17.6;16.8;16.25;15.700.000.000.000.000;15.15;14.6;15.375;32.75;39.3;39.675;40.05;40.425;40.8;38.65;36.5;34.349.999.999.999.900;32.2;32.475;1.2;1.5;1.475;1.45;1.425;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;1.1;44.25;31.1;31.775.000.000.000.000;32.45;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900
2009 4e kwartaal;16.925;19.2;18.4;17.6;16.8;16.25;15.700.000.000.000.000;15.15;14.6;15.375;16.15;33.025.000.000.000.000;39.675;40.05;40.425;40.8;38.65;36.5;34.349.999.999.999.900;32.2;32.475;32.75;1.3;1.475;1.45;1.425;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;1.1;1.2;42.925;31.775.000.000.000.000;32.45;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900;44.25
2010 1e kwartaal;17.7;18.4;17.6;16.8;16.25;15.700.000.000.000.000;15.15;14.6;15.375;16.15;16.925;33.3;40.05;40.425;40.8;38.65;36.5;34.349.999.999.999.900;32.2;32.475;32.75;33.025.000.000.000.000;1.4;1.45;1.425;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;1.1;1.2;1.3;41.6;32.45;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900;44.25;42.925
2010 2e kwartaal;17.974.999.999.999.900;17.6;16.8;16.25;15.700.000.000.000.000;15.15;14.6;15.375;16.15;16.925;17.7;33.4;40.425;40.8;38.65;36.5;34.349.999.999.999.900;32.2;32.475;32.75;33.025.000.000.000.000;33.3;1.5;1.425;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;1.1;1.2;1.3;1.4;41.075;33.125;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900;44.25;42.925;41.6
2010 3e kwartaal;18.25;16.8;16.25;15.700.000.000.000.000;15.15;14.6;15.375;16.15;16.925;17.7;17.974.999.999.999.900;33.5;40.8;38.65;36.5;34.349.999.999.999.900;32.2;32.475;32.75;33.025.000.000.000.000;33.3;33.4;15.999.999.999.999.900;1.4;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;1.1;1.2;1.3;1.4;1.5;40.550.000.000.000.000;33.8;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900;44.25;42.925;41.6;41.075
2010 4e kwartaal;18.525;16.25;15.700.000.000.000.000;15.15;14.6;15.375;16.15;16.925;17.7;17.974.999.999.999.900;18.25;33.599.999.999.999.900;38.65;36.5;34.349.999.999.999.900;32.2;32.475;32.75;33.025.000.000.000.000;33.3;33.4;33.5;1.7;12.999.999.999.999.900;1.2;10.999.999.999.999.900;1.0;1.1;1.2;1.3;1.4;1.5;15.999.999.999.999.900;40.025;37.074.999.999.999.900;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900;44.25;42.925;41.6;41.075;40.550.000.000.000.000
2011 1e kwartaal;18.8;15.700.000.000.000.000;15.15;14.6;15.375;16.15;16.925;17.7;17.974.999.999.999.900;18.25;18.525;33.7;36.5;34.349.999.999.999.900;32.2;32.475;32.75;33.025.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;1.8;1.2;10.999.999.999.999.900;1.0;1.1;1.2;1.3;1.4;1.5;15.999.999.999.999.900;1.7;39.5;40.349.999.999.999.900;43.625;46.9;45.574.999.999.999.900;44.25;42.925;41.6;41.075;40.550.000.000.000.000;40.025
2011 2e kwartaal;18.75;15.15;14.6;15.375;16.15;16.925;17.7;17.974.999.999.999.900;18.25;18.525;18.8;32.975;34.349.999.999.999.900;32.2;32.475;32.75;33.025.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;33.7;1.7;10.999.999.999.999.900;1.0;1.1;1.2;1.3;1.4;1.5;15.999.999.999.999.900;1.7;1.8;40.55;43.625;46.9;45.574.999.999.999.900;44.25;42.925;41.6;41.075;40.550.000.000.000.000;40.025;39.5
2011 3e kwartaal;18.7;14.6;15.375;16.15;16.925;17.7;17.974.999.999.999.900;18.25;18.525;18.8;18.75;32.25;32.2;32.475;32.75;33.025.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;33.7;32.975;1.6;1.0;1.1;1.2;1.3;1.4;1.5;15.999.999.999.999.900;1.7;1.8;1.7;41.6;46.9;45.574.999.999.999.900;44.25;42.925;41.6;41.075;40.550.000.000.000.000;40.025;39.5;40.55
2011 4e kwartaal;18.650.000.000.000.000;15.375;16.15;16.925;17.7;17.974.999.999.999.900;18.25;18.525;18.8;18.75;18.7;31.525.000.000.000.000;32.475;32.75;33.025.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;33.7;32.975;32.25;1.5;1.1;1.2;1.3;1.4;1.5;15.999.999.999.999.900;1.7;1.8;1.7;1.6;42.65;45.574.999.999.999.900;44.25;42.925;41.6;41.075;40.550.000.000.000.000;40.025;39.5;40.55;41.6
2012 1e kwartaal;18.6;16.15;16.925;17.7;17.974.999.999.999.900;18.25;18.525;18.8;18.75;18.7;18.650.000.000.000.000;30.8;32.75;33.025.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;33.7;32.975;32.25;31.525.000.000.000.000;1.4;1.2;1.3;1.4;1.5;15.999.999.999.999.900;1.7;1.8;1.7;1.6;1.5;43.7;44.25;42.925;41.6;41.075;40.550.000.000.000.000;40.025;39.5;40.55;41.6;42.65
2012 2e kwartaal;20.175;16.925;17.7;17.974.999.999.999.900;18.25;18.525;18.8;18.75;18.7;18.650.000.000.000.000;18.6;30.35;33.025.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;33.7;32.975;32.25;31.525.000.000.000.000;30.8;15.499.999.999.999.900;1.3;1.4;1.5;15.999.999.999.999.900;1.7;1.8;1.7;1.6;1.5;1.4;42.35;42.925;41.6;41.075;40.550.000.000.000.000;40.025;39.5;40.55;41.6;42.65;43.7
2012 3e kwartaal;21.75;17.7;17.974.999.999.999.900;18.25;18.525;18.8;18.75;18.7;18.650.000.000.000.000;18.6;20.175;29.900.000.000.000.000;33.3;33.4;33.5;33.599.999.999.999.900;33.7;32.975;32.25;31.525.000.000.000.000;30.8;30.35;1.7;1.4;1.5;15.999.999.999.999.900;1.7;1.8;1.7;1.6;1.5;1.4;15.499.999.999.999.900;41.0;41.6;41.075;40.550.000.000.000.000;40.025;39.5;40.55;41.6;42.65;43.7;42.35
2012 4e kwartaal;23.325.000.000.000.000;17.974.999.999.999.900;18.25;18.525;18.8;18.75;18.7;18.650.000.000.000.000;18.6;20.175;21.75;29.45;33.4;33.5;33.599.999.999.999.900;33.7;32.975;32.25;31.525.000.000.000.000;30.8;30.35;29.900.000.000.000.000;18.499.999.999.999.900;1.5;15.999.999.999.999.900;1.7;1.8;1.7;1.6;1.5;1.4;15.499.999.999.999.900;1.7;39.650.000.000.000.000;41.075;40.550.000.000.000.000;40.025;39.5;40.55;41.6;42.65;43.7;42.35;41.0
